video,VLM_caption
scene_000.mp4,"social_affiliative, resting_idle"
scene_001.mp4,resting_idle
scene_002.mp4,play
scene_003.mp4,"social_affiliative, resting_idle"
scene_004.mp4,"social_affiliative, resting_idle"
scene_005.mp4,"transport_object_or_food, locomotion_travel"
scene_006.mp4,play
scene_010.mp4,transport_object_or_food
scene_012.mp4,transport_object_or_food
scene_013.mp4,feeding_foraging
scene_014.mp4,"transport_object_or_food, locomotion_travel"
scene_015.mp4,feeding_foraging
scene_016.mp4,tool_use_object_manipulation
scene_017.mp4,"aggressive_dominance, locomotion_travel"
scene_018.mp4,"tool_use_object_manipulation, locomotion_travel"
scene_019.mp4,"social_affiliative, locomotion_travel"
scene_020.mp4,play
scene_021.mp4,"transport_object_or_food, locomotion_travel"
scene_022.mp4,transport_object_or_food
scene_023.mp4,transport_object_or_food
scene_024.mp4,transport_object_or_food
scene_025.mp4,play
scene_026.mp4,"transport_object_or_food, locomotion_travel"
scene_027.mp4,play
scene_028.mp4,"transport_object_or_food, locomotion_travel"
scene_029.mp4,transport_object_or_food
scene_030.mp4,transport_object_or_food
scene_031.mp4,tool_use_object_manipulation
scene_032.mp4,transport_object_or_food
scene_033.mp4,transport_object_or_food
scene_034.mp4,transport_object_or_food
scene_035.mp4,transport_object_or_food
scene_036.mp4,transport_object_or_food
scene_037.mp4,transport_object_or_food
scene_038.mp4,transport_object_or_food
scene_039.mp4,transport_object_or_food
scene_040.mp4,transport_object_or_food
scene_041.mp4,"tool_use_object_manipulation, resting_idle"
scene_042.mp4,"transport_object_or_food, play"
scene_043.mp4,feeding_foraging
scene_044.mp4,resting_idle
scene_045.mp4,"tool_use_object_manipulation, feeding_foraging"
scene_046.mp4,tool_use_object_manipulation
scene_047.mp4,"tool_use_object_manipulation, locomotion_travel"
scene_048.mp4,"tool_use_object_manipulation, resting_idle"
scene_049.mp4,tool_use_object_manipulation
scene_050.mp4,"tool_use_object_manipulation, resting_idle"
scene_051.mp4,"transport_object_or_food, locomotion_travel"
scene_052.mp4,social_affiliative
scene_053.mp4,"transport_object_or_food, locomotion_travel"
scene_054.mp4,"transport_object_or_food, locomotion_travel"
scene_055.mp4,"aggressive_dominance, locomotion_travel"
scene_056.mp4,"tool_use_object_manipulation, locomotion_travel"
scene_057.mp4,"transport_object_or_food, locomotion_travel"
scene_058.mp4,tool_use_object_manipulation
scene_059.mp4,resting_idle
scene_060.mp4,"transport_object_or_food, locomotion_travel"
scene_061.mp4,transport_object_or_food
scene_062.mp4,feeding_foraging
scene_063.mp4,"tool_use_object_manipulation, locomotion_travel"
scene_064.mp4,"tool_use_object_manipulation, resting_idle"
scene_065.mp4,tool_use_object_manipulation
scene_066.mp4,"aggressive_dominance, play"
scene_067.mp4,play
scene_068.mp4,transport_object_or_food
scene_069.mp4,"social_affiliative, tool_use_object_manipulation"
scene_070.mp4,play
scene_072.mp4,transport_object_or_food
scene_073.mp4,"transport_object_or_food, locomotion_travel"
scene_074.mp4,play
scene_076.mp4,"transport_object_or_food, locomotion_travel"
scene_077.mp4,"aggressive_dominance, play"
scene_078.mp4,"transport_object_or_food, locomotion_travel"
scene_079.mp4,transport_object_or_food
scene_080.mp4,transport_object_or_food
scene_081.mp4,transport_object_or_food
scene_082.mp4,"transport_object_or_food, locomotion_travel"
scene_083.mp4,"transport_object_or_food, social_affiliative"
scene_084.mp4,"aggressive_dominance, tool_use_object_manipulation"
scene_085.mp4,"tool_use_object_manipulation, locomotion_travel"
scene_086.mp4,transport_object_or_food
scene_087.mp4,transport_object_or_food
scene_088.mp4,play
scene_089.mp4,transport_object_or_food
scene_090.mp4,transport_object_or_food
scene_091.mp4,transport_object_or_food
scene_092.mp4,transport_object_or_food
scene_093.mp4,transport_object_or_food
scene_094.mp4,"tool_use_object_manipulation, locomotion_travel"
scene_095.mp4,transport_object_or_food
scene_096.mp4,"tool_use_object_manipulation, locomotion_travel"
scene_097.mp4,"transport_object_or_food, locomotion_travel"
scene_098.mp4,transport_object_or_food
scene_099.mp4,"transport_object_or_food, maternal_care"
scene_100.mp4,"transport_object_or_food, play"
scene_101.mp4,"tool_use_object_manipulation, locomotion_travel"
scene_102.mp4,transport_object_or_food
scene_103.mp4,"transport_object_or_food, locomotion_travel"
scene_104.mp4,play
scene_105.mp4,tool_use_object_manipulation
scene_106.mp4,play
scene_107.mp4,transport_object_or_food
scene_108.mp4,play
scene_109.mp4,"tool_use_object_manipulation, locomotion_travel"
scene_110.mp4,transport_object_or_food
scene_111.mp4,feeding_foraging
scene_112.mp4,transport_object_or_food
scene_113.mp4,feeding_foraging
scene_114.mp4,"social_affiliative, locomotion_travel"
scene_115.mp4,"tool_use_object_manipulation, resting_idle"
scene_116.mp4,"transport_object_or_food, locomotion_travel"
scene_117.mp4,play
scene_118.mp4,"aggressive_dominance, locomotion_travel"
scene_119.mp4,transport_object_or_food
scene_120.mp4,resting_idle
scene_121.mp4,play
scene_123.mp4,"transport_object_or_food, locomotion_travel"
scene_124.mp4,transport_object_or_food
scene_125.mp4,transport_object_or_food
scene_126.mp4,transport_object_or_food
scene_127.mp4,transport_object_or_food
scene_128.mp4,"transport_object_or_food, locomotion_travel"
